Hala-Muži-60 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,01:46.1,,2,Jakub Holuša,88,Dukla Praha,Karlsruhe,31.1.2010
2,01:46.4,,1b1,Pavel Soukup,71,USK Praha,Ludwigshafen,25.1.1995
3,01:46.5,,3,Roman Oravec,78,USK Praha,Dortmund,30.1.2000
4,01:47.0,,2,Filip  Šnejdr,95,ASK Slavia Praha,Ostrava,12.2.2019
5,01:47.1,,1,Lukáš Vydra,73,Dukla Praha,Praha,4.2.1998
6,01:47.4,,1b1,Jan Kubista,90,Dukla Praha,Wien,11.2.2018
7,01:47.7,,1b1,Václav Hřích,72,PSK Olymp Praha,Wien,8.2.1992
8,01:47.7,,1b1,Michal Šneberger,78,Dukla Praha,Wien,7.2.2004
9,01:47.8,,4,Filip  Sasínek ,96,AK Hodonín ,Ostrava,12.2.2019
10,01:48.2,,2b4,Jaroslav Růža,83,AK Kroměříž ,Leipzig,12.2.2006
11,01:48.4,,6,Lukáš Hodboď,96,Sokol Hradec Králové,Ostrava,12.2.2019
12,01:48.5,,1b1,Petr Mareš,66,Škoda Plzeň,Praha,14.1.1989
13,01:48.6,,1,Jiří Dlouhý,56,VŠ Praha,Praha,6.2.1980
14,01:48.6,,1b1,Vojtěch Mlynář,98,SSK Vítkovice,Ostrava,25.1.2018
15,01:48.6,,2b1,Petr Nechanický,66,RH Praha,Praha,21.1.1989
16,01:48.7,,5,Karel Znojil,75,USK Praha,Halle,31.1.1999
17,01:48.7,,4b1,Miroslav Burian,92,Dukla Praha,Wien,11.2.2012
18,01:48.9,,2,Pavel Jehlička,57,VŠ Praha,Praha,6.2.1980
19,01:49.0,,4b1,Jan Pernica,81,USK Praha,Wien,7.2.2004
20,01:49.0,,1,Jaromír Skalický,68,Sparta ČKD Praha,Praha,18.2.1990
21,01:49.0,,3b3,Martin Hrstka,89,Hvězda SKP Pardubice,Wien,3.2.2009
22,01:49.4,,3b3,Matěj  Pavlíček ,92,Dukla Praha ,Wien,31.1.2015
23,01:49.4,,1b2,Stanislav Tábor,80,Dukla Praha,Praha,11.2.2004
24,01:46.0,,1,Roman Oravec,78,USK Praha,Ames,6.2.1999
,,,,,,,,
Hala-Muži-1500 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,03:37.7,,1,Jakub Holuša,88,Dukla Praha ,Praha,8.3.2015
2,03:38.9,,3,Michal Šneberger,78,Dukla Praha,Stuttgart,29.1.2005
3,03:39.3,,1b1,Radim Kunčický,67,RH Praha,Praha,1.2.1989
4,03:40.0,,5,Filip  Sasínek ,96,AK Hodonín ,Toruń,15.2.2018
5,03:40.5,,2b1,Petr Nechanický,66,RH Praha,Praha,1.2.1989
6,03:41.3,,2,Vladimír Slouka,62,LIAZ Jablonec n. N.,Wien,1.2.1987
7,03:41.5,,3r1,Lukáš Vydra,73,Dukla Praha,Stockholm,9.3.1996
8,03:41.8,,1,Jan Kraus,65,LIAZ Jablonec n. N.,Praha,24.1.1987
9,03:42.0,,2,Jan  Friš ,95,Dukla Praha,Luxembourg,2.2.2019
10,03:42.1,,1,Milan Drahoňovský,66,Dukla Praha,Praha,10.2.1993
11,03:42.3,,1r1,Tomáš Bednář,85,SSK Vítkovice,Praha,23.2.2008
12,03:42.7,,2,Jan Kubista,60,LIAZ Jablonec n. N.,Praha,24.1.1987
13,03:42.9,,1,Lubomír Pokorný,75,Dukla Praha,Praha,10.2.1999
14,03:43.0,,4,Lubomír Tesáček,57,Dukla Praha,Budapest,4.2.1981
15,03:43.0,,4,Jiří Ernst,64,RH Praha,Praha,24.1.1987
16,03:43.4,,2,Jiří Šoptenko,69,SK Spartak Praha 4,Praha,10.2.1993
17,03:43.5,,7,Michael Nejedlý,69,A.C. Kablo Kladno,Karlsruhe,25.1.1998
18,03:43.6,,4,Ivan Adámek,64,RH Praha,Wien,30.1.1986
19,03:44.0,,6,Petr  Vitner,90, Nové Město na Mor.,Wien,30.1.2016
20,03:44.0,,1b1 ,Milan  Kocourek ,87,AK Kroměříž ,Praha,
,,,,,,,,
Hala-Muži-3000 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,07:48.8,,1b1,Lubomír Tesáček,57,Dukla Praha,Praha,28.1.1981
2,07:51.5,,1b1,Ivan Uvizl,58,RH Praha,Praha,30.1.1985
3,07:51.8,,3,Pavel Pěnkava,44,RH Praha,Göteborg,10.3.1974
4,07:53.2,,5,Jakub Holuša,88,Sokol Opava,Praha,25.2.2014
5,07:54.1,,2b1,Peter Klimeš,58,TJ Vítkovice,Praha,30.1.1985
6,07:54.2,,1,Radim Kunčický,67,RH Praha,Athína,6.2.1988
7,07:55.0,,6,Josef Jánský,40,Sparta ČKD Praha,Göteborg,10.3.1974
