Hala-Muži-60 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
2,2.36,,1,Ján Zvara,63,Sparta ČKD Praha,Jablonec n. N.,14.2.1987
3,2.34,,1,Tomáš Janků,74,Dukla Praha,Brno,6.2.2007
4,2.33,,1,Svatoslav Ton,78,Dukla Praha,Brno,22.2.2005
5,2.3,,3,Jan Janků,71,LIAZ Jablonec n. N.,Wuppertal,2.2.1996
6,2.28,,1,Josef Hrabal,58,VŠ Praha,Praha,10.1.1981
7,2.27,,1A,Jindřich Vondra,57,Sparta ČKD Praha,Praha,13.2.1986
8,2.27,,1,Zdeněk Kubišta,66,Sparta ČKD Praha,Athína,10.2.1990
9,2.26,,1,Martin Heindl,92,JAC Brno,Praha,25.2.2017
10,2.24,,1A,Vladimír Malý,52,Zbrojovka Brno,Praha,26.2.1975
11,2.24,,2,Tomáš Ort,76,PSK Olymp Praha,Brno,16.2.2001
12,2.24,,3,Stanislav Sajdok,83,Dukla Praha,Praha,24.2.2008
13,2.23,,1,Milan Machotka,63,RH Praha,Praha,19.1.1985
14,2.23,,2,Karel Švestka,63,RH Praha,Jablonec n. N.,10.2.1985
15,2.22,,1A,Ctirad Veselský,60,Dynamo Pardubice,Třinec,13.2.1981
16,2.22,,2,Libor Šalamoun,71,SSK Vítkovice,Pardubice,3.2.1996
17,2.22,,1,Milan Čermák,73,A.C. Kablo Kladno,Praha,12.2.1997
18,2.22,,1,Ondřej Balcar,81,PSK Olymp Praha,Praha,15.2.2005
19,2.21,,2,Jiří Palkovský,51,RH Praha,Berlin,19.2.1977
20,2.21,,2A,Vladimír Štalmach,65,TJ Vítkovice,Čejkovice,8.3.1988
21,2.21,,1,Leo Zdráhal,67,SK Slavia Praha,Pardubice,7.2.1993
22,2.21,,1,Jiří Křehula,82,AC Mor. Slavia Brno,Praha,25.2.2001
23,2.21,,8=,Dalibor Hon,78,AK Olomouc,Brno,6.2.2002
,,,,,,,,
Hala-Junioři-60 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,6.7,,1,Marek Bakalár,95,A.C. Tepo Kladno,Praha,22.2.2014
2,6.72,,3,Štěpán  Hampl,99,Sokol Kolín,Praha,17.2.2018
3,6.76,,1B,Pavel Maslák,91,AO Slavia Havířov,Wien,16.2.2010
4,6.76,,4,Vojtěch Netymach,95,AC Pardubice,Praha,15.2.2014
5,6.77,,1,Roman Zrun,60,RH Praha,Sofia,5.3.1978
6,6.78,,1b12,Zdeněk Stromšík,94,AC Sl. Sl. Uh. Hradiště,Praha,12.2.2013
7,6.79,,2,Martin Říčař,91,SK Čéč. Č. Budějovice,Praha,20.2.2010
8,6.81,,1,Matěj Krsek,0,A.C. Tepo Kladno,Ostrava,24.2.2018
9,6.81,,2b16,Stanislav Jíra,0,Sokol Kolín,Praha,22.1.2019
10,6.82,,1b15,Václav Zich,90,ŠAK Chodov,Praha,27.1.2009
11,6.82,,3,Michal Jahn,90,AC Domažlice,Praha,21.2.2009
12,6.85,,3,Vojtěch Kolarčík,95,Slezan Opava,Praha,22.2.2014
13,6.86,,1,David  Kolář,97,AC Slovan Liberec,Praha,20.2.2016
14,6.87,,1A,Tomáš Knebl,83,Lokomotiva Rakovník,Praha,24.2.2001
15,6.87,,4=,Lukáš Patera,86,AC Pardubice,Praha,21.2.2004
16,6.88,,1A,Ivan Šlehobr,76,USK Praha,Jablonec n. N.,11.2.1995
17,6.89,,1,Martin Šimůnek,73,USK Praha,Fürth,26.1.1992
18,6.89,,1A,Petr Svoboda,84,JE Dukovany,Praha,23.2.2002
19,6.89,,2A,Jan Roman,83,Sokol Opava,Praha,23.2.2002
20,6.89,,1r4,Alexandr Herman,91,Lokomotiva Břeclav,Bratislava,31.1.2008
21,6.89,,1,Jakub  Rusek ,96,TJ Sokol Opava ,Praha-OJ ,14.2.2015
22,6.89,,1r4,Jiří Pechar,1,PSK Olymp Praha,Praha,20.1.2019
,,,,,,,,
Hala-Junioři-200 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,21.18,,1,Jiří  Polák,98,Sokol České Budějovice,Ostrava,19.2.2017
2,21.26,,1,Tomáš Němejc,0,Sokol Č. Budějovice,Ostrava,25.2.2018
3,21.31,,2,Daniel Vejražka,0,TJ Klášterec nad Ohří,Ostrava,25.2.2018
4,21.39,,1b2,Pavel Maslák,91,AO Slavia Havířov,Wien,16.2.2010
5,21.49,,1,Marek Bakalár,95,A.C. Tepo Kladno,Praha,23.2.2014
6,21.5,,1b1,Filip  Ličman,0,AK Škoda Plzeň,Praha,3.2.2019
7,21.54,,1b8,Matěj Krsek,0,A.C. Tepo Kladno,Leipzig,9.2.2019
8,21.57,,2,David  Kolář ,97,AC Slovan Liberec,Praha,21.2.2016
9,21.62,,1,Matěj Krsek,0,A.C. Tepo Kladno,Praha,21.2.2016
10,21.65,,1b3,Lukáš Šťastný,91,Dukla Praha,Wien,24.1.2009
11,21.65,,1b1,Adam Havlas,0,PSK Olymp Praha,Praha,4.2.2018
12,21.67,,2,Jiří Faist,90,AC Domažlice,Praha,15.2.2009
13,21.67,,MSb05,Tomáš Nevole,0,Spartak Praha 4,Praha,27.1.2018
14,21.68,,1b1,Jiří Vojtík,81,PSK Olymp Praha,Praha,15.1.2000
15,21.7,,3,Lukáš Mánek,88,ASK Blansko,Praha,25.2.2007
16,21.7,,2,Vojtěch Svoboda,95,AC Slovan Liberec,Praha,23.2.2014
17,21.74,,2A,Ivo Rýznar,67,RH Praha,Praha,26.1.1986
18,21.74,,3,David  Richter,98,SKP Union Cheb,Praha,21.2.2016
19,21.76,,2,Štěpán  Hampl,99,Sokol Kolín,Ostrava,19.2.2017
20,21.77,,2b2,Vojtěch Šulc,86,SK Spartak Praha 4,Eaubonne,29.2.2004
21,21.78,,1A,Jiří Ondráček,71,RH Praha,Praha,11.2.1990
22,21.78,,3,Vojtěch Kolarčík,95,Slezan Opava,Praha,23.2.2014
23,21.84,,3,Martin Říčař,91,SK Čéč. Č. Budějovice,Praha,21.2.2010
24,21.84,,1b1,Ladislav Töpfer,0,AC Mladá Boleslav,Praha,3.2.2019
25,21.87,,2,Patrik Šorm,93,USK Praha,Praha,26.2.2012
26,21.87,,4,Ondřej  Rapp,97,LIAZ Jablonec n. N.,Praha,21.2.2016
,,,,,,,,
Hala-Junioři-400 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,47.53,,3A,Václav Hřích,72,SONP Poldi Kladno,Praha,18.2.1990
2,47.62,,1,Matěj Krsek,0,A.C. Tepo Kladno,Ostrava,25.2.2018
3,47.72,,1A,Radek Bartakovič,70,Dynamo Pardubice,Praha,21.1.1989
4,47.84,,2r1,Petr Vaněk,89,Sokol Opava,Praha,23.2.2008
5,48.13,,1b1,Filip  Ličman,0,AK Škoda Plzeň,Praha,26.1.2019
6,48.19,,2b1,Lukáš Souček,75,PSK Olymp Praha,Wien,6.2.1994
7,48.25,,1b1,Jan  Kisiala,98,ASK Slavia Praha,Praha,4.2.2017
8,48.41,,3b1,Daniel Vejražka,0,TJ Klášterec nad Ohří,Praha,10.2.2018
9,48.46,,1,Roman Oravec,78,ASK Slavia Praha,Karlsruhe,1.2.1997
10,48.5,,1,Lukáš Hodboď,96,SKP Nymburk,Praha,23.2.2014
11,48.5,,1b2,Jiří  Polák,98, Sokol České Budějovice,Wien,11.2.2017
12,48.59,,2b7,Patrik Šorm,93,USK Praha,Wien,11.2.2012
13,48.59,,1b1,Ladislav Töpfer,0,AC Mladá Boleslav,Praha,26.1.2019
14,48.61,,3,Ondřej Holub,99,AC Pardubice,Ostrava,25.2.2018
15,48.66,,3A,Tomáš Balcar,79,Jiskra Ústí n. O.,Praha,23.2.1997
16,48.7,,3b2,Martin Hrstka,89,Hvězda SKP Pardubice,Praha,2.2.2008
17,48.72,,1,Josef Prorok,87,ASK Slavia Praha,Praha,19.2.2006
18,48.76,,1b9,Pavel Maslák,91,AO Slavia Havířov,Wien,2.2.2010
19,48.76,,2,Tomáš Kroupa,96,AC Pardubice,Praha,23.2.2014
20,48.81,,2A,Štěpán Tesařík,78,Dukla Praha,Praha,9.2.1997
21,48.82,,1A,Jan Mazanec,82,Jiskra Domažlice,Praha,25.2.2001
22,48.85,,2,Petr Langmaier,90,AK Škoda Plzeň,Praha,17.2.2008
23,48.86,,1b1,Tadeáš Plaček,3,VSK Univerzita Brno,Ostrava,2.2.2019
24,48.87,,1A,Pavel Jelínek,79,AK MUS Most,Praha,8.2.1998
25,48.87,,3b6,Daniel Lehar,1,A.C. Tepo Kladno,Wien,26.1.2019
26,48.89,,3A,Petr Mareš,66,Škoda Plzeň,Praha,27.2.1983
27,48.89,,1,Albert Holibka,94,Sokol Opava,Praha,24.2.2013
28,48.5,,1r3,Tomáš Balcar,79,Jiskra Ústí n. O.,Praha,22.2.1997
29,48.26,,1,Marcel Sendler,70,Zbrojovka Brno,Jablonec n. N.,5.2.1989
30,48.62,,2A,Jindřich Roun,65,Sparta ČKD Praha,Jablonec n. N.,19.2.1984
31,48.66,,3A,Petr Mareš,66,Škoda Plzeň,Jablonec n. N.,10.2.1985
32,48.84,,3A,Pavel Hýsek,65,LIAZ Jablonec n. N.,Jablonec n. N.,19.2.1984
,,,,,,,,
Hala-Junioři-800 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,01:47.8,,1,Roman Oravec,78,ASK Slavia Praha,Praha,23.2.1997
2,01:48.6,,3b2,Václav Hřích,72,PSK Olymp Praha,Stuttgart,10.2.1991
3,01:48.9,,3b3,Miroslav Burian,92,Dukla Praha,Wien,1.2.2011
4,01:49.0,,1b2 ,Filip  Sasínek ,96,AK Hodonín ,Wien,31.1.2015
5,01:50.0,,1b1,Daniel Kotyza,0,VSK Univerzita Brno,Ostrava,24.1.2019
6,01:50.3,,2,Pavel Soukup,71,VŠ Praha,Praha,11.2.1990
7,01:50.4,,2,Vojtěch Mlynář,98,Jiskra Ústí n. O.,Praha,26.2.2017
8,01:50.7,,5b4,Daniel Grecman,93,SSK Vítkovice,Wien,31.1.2012
9,01:50.8,,4,Daniel Urban,0,Hvězda Pardubice,Ostrava,17.2.2019
10,01:50.9,,1,Milan Drahoňovský,66,VŠ Praha,Praha,22.1.1984
11,01:50.9,,1,Ondřej Křička,80,ASK Slavia Praha,Praha,28.2.1999
12,01:51.4,,4,Luboš Stloukal,71,Zbrojovka Brno,Praha,11.2.1990
13,01:51.8,,5,Martin Jareš,76,ASK Slavia Praha,Wien,6.2.1994
14,01:51.8,,2,Martin Hrstka,89,Hvězda SKP Pardubice,Praha,26.2.2006
15,01:51.8,,6,Karel Znojil,75,USK Praha,Wien,6.2.1994
16,01:51.9,,2,Vladimír Bartůněk,80,AK Škoda Plzeň,Praha,28.2.1999
17,01:52.0,,1,Hakim  Saleh ,96,AK Bílina ,Praha-OJ ,15.2.2015
18,01:52.0,,4r3 ,Lukáš  Hotový ,96,ASK Slavia Praha ,Praha-OJ ,21.2.2015
19,01:52.0,,3,Jan Pernica,81,SSK Vítkovice,Praha,28.2.1999
20,01:52.3,,2,Štěpán  Jirman ,97,TJ Sokol Hradec Králové ,Praha-OJ ,15.2.2015
21,01:52.4,,4r2,David Vondruška,84,PSK Olymp Praha,Bratislava,1.3.2003
22,01:52.4,,1,Miloš Kostrec,70,Slavoj Čáslav,Praha,31.1.1988
23,01:51.0,,1,Luboš Šubrt,64,AŠ Mladá Boleslav,Jablonec n. N.,20.2.1983
24,01:51.1,,1b1,Pavel Hujer,69,LIAZ Jablonec n. N.,Jablonec n. N.,30.1.1988
,,,,,,,,
Hala-Junioři-1500 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,03:43.8,,3,Filip  Sasínek ,96,AK Hodonín ,Linz,6.2.2015
2,03:46.3,,2,Daniel Kotyza,0,VSK Univerzita Brno,Ostrava,17.2.2019
3,03:47.0,,1,Jan Friš,95,SSK Vítkovice,Praha,25.2.2014
4,03:50.1,,3,Daniel Kotyza,0,VSK Univerzita Brno,Praha,18.2.2018
5,03:51.7,,1,Tomáš Bednář,85,SSK Vítkovice,Praha,15.2.2004
6,03:51.8,,1,Michal Kučera,72,Spartak Ústí n. L.,Praha,18.2.1990
7,03:52.0,,4,Adam Zenkl,95,SSK Vítkovice,Praha,25.2.2014
8,03:52.2,,9b1,Radek Karnufek,93,SSK Vítkovice,Bratislava,29.1.2012
9,03:52.5,,3,Luboš Stloukal,71,Zbrojovka Brno,Praha,21.1.1989
10,03:52.6,,1,Roman Oravec,78,ASK Slavia Praha,Praha,
11,03:53.3,,4,Václav Ovesný,61,TJ Vítkovice,Ostrava,28.1.1979
12,03:53.7,,1b1,Lukáš Vydra,73,PSK Olymp Praha,Praha,3.2.1991
13,03:53.7,,4,Lubomír Pokorný,75,TJ Jičín,Praha,21.2.1993
14,03:54.1,,1b1,Tomáš Novotný,73,AC Pardubice,Praha,2.2.1992
15,03:54.5,,3,Daniel Grecman,93,SSK Vítkovice,Praha,26.2.2012
16,03:54.6,,1,Radim Kunčický,67,TŽ Třinec,Ostrava,17.2.1985
17,03:54.7,,3,Jan Holberg,60,TJ Vítkovice,Ostrava,19.2.1978
18,03:55.3,,6,Vladimír Černý,58,VŽKG Vítkovice,Ostrava,27.2.1977
19,03:55.6,,6b1,Ondřej Hodboď,1,SKP Nymburk,Ostrava,12.2.2019
20,03:55.6,,5b1,Zdeněk Pichl,83,Sokol Kolín,Praha,5.2.2002
21,03:56.1,,1,Stanislav Tábor,80,PSK Olymp Praha,Praha,16.1.1999
22,03:56.2,,1,Jakub Holuša,88,Sokol Opava,Praha,18.2.2007
23,03:56.2,,5b2,René Sasyn,0,Dukla Praha,Wien,26.1.2019
24,03:56.3,,6,Milan Stašek,71,Škoda Plzeň,Praha,18.2.1990
25,03:51.5,,2,Jan Holberg,60,TJ Vítkovice,Jablonec n. N.,10.2.1979
26,03:53.2,,5,Tomáš Novotný,73,AC Pardubice,Jablonec n. N.,8.2.1992
27,03:53.9,,1,Jiří Florián,64,Slavoj Slavkov,Jablonec n. N.,28.2.1982
28,03:55.5,,3b2,Michal Černý,65,LIAZ Jablonec n. N.,Jablonec n. N.,19.2.1984
,,,,,,,,
Hala-Junioři-3000 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,08:13.0,,1,Michal Kučera,72,PSK Olymp Praha,Praha,9.2.1991
2,08:16.6,,4b1,Jiří Florián,64,Slavoj Slavkov,Praha,14.2.1982
3,08:18.8,,1,Lubomír Pokorný,75,TJ Jičín,Praha,15.1.1994
4,08:23.0,,5b1,Pavel Michálek,62,LIAZ Jablonec n. N.,Ostrava,25.1.1981
5,08:23.1,,1b2,Milan Šiška,62,Slávia Kroměříž,Ostrava,25.1.1981
6,08:23.2,,3,Jakub Holuša,88,Sokol Opava,Praha,25.2.2006
7,08:23.2,,7,Zdeněk Mezuliáník,65,RH Praha,Praha,1.2.1984
8,08:24.4,,5,Robin Vohlídal,82,Dukla Praha,Praha,17.2.2001
9,08:25.1,,1,Jan Friš,95,SSK Vítkovice,Praha,22.2.2014
10,08:25.4,,2,Jakub Zemaník,95,SSK Vítkovice,Praha,22.2.2014
11,08:25.8,,3,Petr Jakob,62,Slavoj Bruntál,Ostrava,23.2.1980
12,08:25.9,,3b2,Radek Šilberský,67,RH Praha,Praha,26.1.1986
13,08:28.0,,5,Petr Štěpánek,56,Slovan Kadaň,Praha,2.2.1975
14,08:28.7,,5b2,Daniel Orálek,70,Technika Brno,Praha,21.1.1989
15,08:28.8,,6,Martin Mužík,86,Baník Stříbro,Praha,19.2.2005
16,08:29.7,,1,Václav Janoušek,85,SK Spartak Praha 4,Eaubonne,29.2.2004
17,08:30.0,,1,Václav Ovesný,61,TJ Vítkovice,Ostrava,3.2.1979
18,08:30.3,,3,Jan Kreisinger,84,SK ČD Č. Budějovice,Bratislava,1.3.2003
19,08:31.0,,9,Jiří Melichar,74,ODDM Náchod,Praha,17.2.1990
20,08:31.0,,1,Rostislav Ševců,65,Slávia Kroměříž,Praha,27.2.1983
21,08:26.9,,5,Petr Pícha,70,LIAZ Jablonec n. N.,Jablonec n. N.,4.2.1989
22,08:27.5,,1,Jan Kraus,65,LIAZ Jablonec n. N.,Jablonec n. N.,21.1.1984
23,08:30.1,,7,Jan Pešava,72,LIAZ Jablonec n. N.,Jablonec n. N.,3.2.1990
24,08:30.3,,2,Vladimír Novák,63,LIAZ Jablonec n. N.,Jablonec n. N.,12.1.1980
,,,,,,,,
Hala-Junioři-60 m př.,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,7.8,,1,David  Sklenář,97,PSK Olymp Praha,Praha,20.2.2016
2,7.81,,1,Martin Pokorný,88,AC Mor. Slavia Brno,Bratislava,3.2.2007
3,7.81,,1,Václav Sedlák,93,Dukla Praha,Praha,18.2.2012
4,7.83,,1r1,Petr Svoboda,84,JE Dukovany,Bratislava,1.3.2003
5,7.83,,1,Martin Mazáč,90,AC Sl. Sl. Uh. Hradiště,Praha,10.2.2009
6,7.86,,1,Jiří Smola,88,SSK Vítkovice,Praha,17.2.2007
7,7.87,,1A,Jiří Hudec,64,Zbrojovka Brno,Jablonec n. N.,28.2.1982
8,7.91,,3A,Jan Grabmüller,70,Slavia IPS Praha,Jablonec n. N.,28.1.1989
9,7.91,,1,Tomáš  Pulíček ,97,AC Jablonec n. N. ,Praha,5.3.2015
10,7.92,,1,Martin Janský,0,PSK Olymp Praha,Praha,2.2.2019
11,7.93,,1,David Ryba,99,Sokol Hradec Králové,Ostrava,24.2.2018
12,7.94,,2,Pavel Petřík,99,ASK Slavia Praha,Ostrava,24.2.2018
13,7.96,,1,Michal Říha,94,AC Pardubice,Praha,23.2.2013
14,7.96,,1,David Vrbata,1,Sokol Nová Paka,Jablonec n. N.,2.2.2019
15,7.97,,1,Erik Jelínek,98,AC Sl. Sl. Uh. Hradiště,Ostrava,4.2.2017
16,7.98,,S,Lukáš Haloun,91,AC Syner Turnov,Praha,20.2.2010
17,8,,1,Kryštof Pospíšil,0,TJ Šumperk,Ostrava,12.2.2019
18,8.01,,1,Tomáš Homola,95,TŽ Třinec,Bratislava,1.2.2014
19,8.02,,1,Ondřej  Kopecký,98,AC Pardubice,Praha,12.2.2017
20,8.03,,2,Josef Polách,90,AK Zlín,Praha,14.2.2009
21,8.03,,S ,Jan  Doležal ,96,Sokol Hradec Králové ,Praha,8.2.2015
22,8.03,,3,Adam Šufliarský,99,Dukla Praha,Ostrava,24.2.2018
23,8.04,,1A,Jaromír Duraja,75,ACP Brno,Jablonec n. N.,19.2.1994
24,8.05,,1,Tomáš Dvořák,72,Dukla Praha,Jablonec n. N.,16.2.1991
25,8.05,,2=,Jaroslav Brückler,92,AC Slovan Liberec,Praha,20.2.2010
26,8.05,,2=,Michal Brož,92,AC Syner Turnov,Praha,20.2.2010
27,8.05,,3,Sebastian Merta,1,USK Praha,Ostrava,12.2.2019
,,,,,,,,
Hala-Junioři-4x200 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,01:27.5,,2,Reprezentační družstvo ,,,Eaubonne,29.2.2004
2,01:27.4,,3b1,Sokol České Budějovice ,,,Praha,26.2.2017
3,01:28.7,,1b1 ,Sokol Hradec Králové ,,,Praha,15.2.2015
4,01:28.8,,2b1,ASK Slavia Praha ,,,Praha,15.2.2015
5,01:28.8,,2b1,PSK Olymp Praha ,,,Ostrava,25.2.2018
6,01:29.3,,1b2,Sokol Opava ,,,Ostrava,19.2.2017
7,01:29.6,,1b3  ,VSK Univerzita Brno       ,,,Praha  ,21.2.2016
8,01:29.7,,1b2,A.C. Tepo Kladno ,,,Praha,15.2.2015
9,01:29.7,,1b3  ,AC Pardubice ,,,Ostrava,25.2.2018
10,01:30.4,,1b1,Dukla Praha ,,,Praha,15.2.2009
11,01:30.5,,1b1,AC Syner Turnov ,,,Praha,21.2.2010
12,01:30.5,,3b1,AC Slovan Liberec ,,,Praha,21.2.2016
,,,,,,,,
Hala-Junioři-sedmiboj h,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,5862,,1,Ondřej  Kopecký,98,AC Pardubice,Praha,12.2.2017
2,5838,,1,Jiří Sýkora,95,Spartak Třebíč,Praha,9.2.2014
3,5761,,1,Jan Kudlička,88,Sokol Opava,Praha,11.2.2007
4,5694,,3,Jan  Doležal ,96,Sokol Hradec Králové ,Praha,8.2.2015
5,5675,,1,Tomáš Komenda,78,T&F Pardubice,Praha,16.2.1997
6,5641,,1,Štěpán Janáček,77,Dukla Praha,Praha,3.3.1996
7,5604,,1,Adam Ptáček,80,SSK Vítkovice,Praha,31.1.1998
8,5574,,1,Jaroslav Hedvičák,90,AC Pardubice,Praha,8.2.2009
9,5458,,1,Jiří Ryba,76,T&F Pardubice,Praha,5.3.1995
10,5437,,1,David Sazima,87,AK Most,Praha,11.2.2006
11,5420,,1,Dalibor Špoták,74,LIAZ Jablonec n. N.,Praha,27.2.1993
12,5417,,1,Lukáš Patera,86,AC Pardubice,Praha,26.2.2005
13,5398,,1,Jan Poděbradský,74,Dukla Praha,Praha,8.2.1992
14,5389,,1,Aleš  Svoboda,98,Spartak Třebíč,Praha,14.2.2016
15,5359,,2,Adam Nejedlý,88,Dukla Praha,Praha,11.2.2007
16,5359,,3,Jan  Kisiala,98,ASK Slavia Praha,Praha,29.1.2017
17,5357,,1,Vojtěch Hájek,94,Slavoj Stará Boleslav,Praha,12.2.2012
18,5333,,1,Tomáš Dvořák,72,Dukla Praha,Praha,24.2.1990
19,5315,,2,Adam Sebastian Helcelet,91,AC Syner Turnov,Praha,8.2.2009
20,5301,,1,Milan Kohout,81,ŠAK SG Jablonec n. N.,Praha,14.2.1999
,,,,,,,,
Hala-Junioři-koule 6kg,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,19.38,,1,Martin Novák,92,AK Olomouc,Olomouc,3.12.2011
2,19.37,,1,Ladislav Prášil,90,AK Olomouc,Ostrava,7.3.2009
3,19.28,,1,Remigius Machura,86,A.C. Sparta Praha,Jablonec n. N.,16.2.2005
4,19.19,,1,Vladislav Tuláček,88,Dukla Praha,Praha,26.2.2007
5,18.96,,1,Miroslav Menc,71,LIAZ Jablonec n. N.,Praha,10.2.1990
6,18.78,,1,Remigius Machura,60,Slavia VŠ Praha,Jablonec n. N.,22.2.1978
7,18.78,,1,Jaromír Mazgal,93,AC Syner Turnov,Praha,29.2.2012
8,18.65,,1,Martin Bílek,73,SK Slavia Praha,Jablonec n. N.,22.2.1992
9,18.31,,1,David Tupý,0,BAK Bechyně,Jablonec n. N.,30.1.2019
10,18.09,,1,Petr Novotný,89,AK Olomouc,Praha,17.2.2008
11,18.08,,1,Michal Forejt,0,AK Škoda Plzeň,Ostrava,25.2.2018
12,18.05,,1,Jakub Héža,0,AK Olomouc,Ostrava,12.2.2019
13,17.93,,2,František Michálek,73,PSK Olymp Praha,Jablonec n. N.,22.2.1992
14,17.69,,2,Josef Rosůlek,71,RH Praha,Praha,28.1.1989
15,17.64,,2,Vladimír Maška,73,LIAZ Jablonec n. N.,Praha,1.2.1992
16,17.59,,2,Marek Bílek,73,SK Slavia Praha,Praha,19.1.1992
17,17.54,,1,Jan Tylče,82,SKU Junior Plzeň,Praha,25.2.2001
18,17.53,,1,Arnošt Holovský,82,AK Bílina,Jablonec n. N.,5.2.2000
19,17.49,,2,Tomáš Staněk,91,A.C. Sparta Praha,Praha,21.2.2010
20,17.36,,1,Tomáš Skála,94,ŠAK Chodov,Praha,24.2.2013
21,17.29,,2,Jakub Vadlejch,90,Dukla Praha,Praha,15.2.2009
22,17.13,,1,Jan Skoupý,51,Dukla Praha,Jablonec n. N.,15.2.1969
23,17.13,,1,Martin Pítr,83,AK Olomouc,Olomouc,27.1.2001
24,17.13,,2,Petr Hlavička,88,SK Kotlářka Praha,Praha,18.2.2007
,,,,,,,,
Hala-Junioři-dálka,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,7.74,,3,Ivo Krsek,67,Jiskra Ústí n. O.,Jablonec n. N.,8.2.1986
2,7.65,,5,Ludvík Bohman,73,SK Slavia Praha,Praha,16.2.1992
3,7.55,,2,Róbert Michalík,74,USK Praha,Praha,10.1.1993
4,7.5,,S ,Jan  Doležal ,96,Sokol Hradec Králové ,Praha,7.2.2015
5,7.47,,1,Tomáš Borek,81,SSK Vítkovice,Praha,27.2.1999
6,7.44,,1,Robert Změlík,69,TJ Vítkovice,Jablonec n. N.,15.2.1986
7,7.44,,1,Michal Čada,85,TJ Klatovy,Praha,14.2.2004
8,7.44,,1,Roman Novotný,86,VSK Univerzita Brno,Praha,12.2.2005
9,7.42,,1,Jaroslav Brož,50,Dynamo Pardubice,Jablonec n. N.,15.2.1969
10,7.42,,1,Jaroslav Křivka,56,RH Pardubice,Jablonec n. N.,25.2.1973
11,7.42,,1,Zdeněk Braniš,66,Sparta ČKD Praha,Jablonec n. N.,11.2.1984
12,7.42,,1,Roman Orlík,72,TJ Vítkovice,Ostrava,19.1.1991
13,7.42,,S,Jiří Sýkora,95,Spartak Třebíč,Praha,8.2.2014
14,7.4,,2,Václav Ciminga,86,Sokol Opava,Praha,14.2.2004
15,7.39,,1,Zdeněk Rohan,73,Dynamo Pardubice,Praha,2.2.1991
16,7.38,,1,Josef Hodač,75,Dukla Praha,Praha,22.1.1994
17,7.36,,3,Milan Kovář,72,TJ Vítkovice,Praha,11.2.1990
18,7.34,,S,Tomáš Komenda,78,T&F Pardubice,Praha,15.2.1997
19,7.33,,4,Jaroslav Paštika,59,VŽKG Vítkovice,Ostrava,27.2.1977
20,7.33,,S,Adam Ptáček,80,SSK Vítkovice,Praha,30.1.1998
,,,,,,,,
Hala-Junioři-trojskok,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,15.66,,4,Petr Pech,64,RH Praha,Praha,5.2.1983
2,15.47,,5,Michal Coubal,73,Dukla Praha,Praha,15.2.1992
3,15.34,,1,Jiří Mužík,76,Dynamo ZČE Plzeň,Jablonec n. N.,12.2.1995
4,15.28,,1,Jaroslav Mrštík,67,LIAZ Jablonec n. N.,Jablonec n. N.,11.1.1986
5,15.21,,1,Zdeněk Šafra,71,SONP Poldi Kladno,Praha,14.1.1990
6,15.18,,1,Ivo Bilík,62,Sparta ČKD Praha,Praha,17.1.1981
7,15.16,,5,Luboš Kummer,69,RH Praha,Praha,6.2.1988
8,15.16,,4,Michal Bednařík,94,USK VŠEM Ústí n. L.,Praha,17.2.2013
9,15.15,,1,Pavel Kouba,72,Dynamo Pardubice,Praha,2.2.1991
10,15.13,,1,Tomáš Janeček,98,AK Olomouc,Ostrava,4.2.2017
11,15.13,,1,Šimon Hána,99,AK Zlín,Ostrava,8.2.2018
12,15.12,,6,Karel Burian,69,Start Karlovy Vary,Praha,6.2.1988
13,15.12,,1,Tomáš Cholenský,78,AK Bílina,Jablonec n. N.,1.2.1997
14,15.08,,1,Václav Ciminga,86,Sokol Opava,Praha,14.2.2004
15,15.07,,1,František Buba,0,TJ TŽ Třinec,Ostrava,2.2.2019
16,15.03,,1,Josef Janda,75,SK SŠ Brno,Jablonec n. N.,20.2.1994
